KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2002-11,0.9927,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2002-12,1.0487,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2003-01,1.0816,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2003-02,1.0782,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2003-03,1.0895,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2003-04,1.1131,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2003-05,1.1822,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2003-06,1.1427,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2003-07,1.1318,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2003-08,1.0927,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2003-09,1.1652,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2003-10,1.1622,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2003-11,1.1994,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2003-12,1.263,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2004-01,1.2384,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2004-02,1.2418,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2004-03,1.2224,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2004-04,1.1947,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2004-05,1.2198,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2004-06,1.2155,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2004-07,1.2039,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2004-08,1.2111,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2004-09,1.2409,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2004-10,1.2737,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2004-11,1.3295,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
EXR.M.USD.EUR.SP00.E,M,USD,EUR,SP00,E,2004-12,1.3621,A,F,,,P1M,,E,,,,,,,99Q1=100,,,4,,4F0,,US dollar/Euro ECB reference exchange rate,"ECB reference exchange rate, US dollar/Euro, 2.15 pm (C.E.T.)",USD,0
